ELAPSED_RUNTIME,DELETE_FLAG,AVG_START_TIME,AVG_RUNTIME,TIME_ZONE,PRIORITY,CYCLIC,MAX_RERUN,END_TIME,START_TIME,FROM_TIME,STATUS,STATE,ODATE,MEMNAME,JOB_NAME,ORDER_TABLE,ORDER_ID,JOB_ID,GROUP_NAME,SYSDATE,CTRLM_TABLE_NAME,JOBNAME,SCRIPT_NAME,DESCRIPTION,INTERFACE_NAME,CRITICAL_LONG_RUN_JOBS_FLAG,THRESHOLD_RUN_TIME,CRITICAL_NOT_STARTED_JOBS_FLAG,FROMTIME,THRESHOLD_START_TIME,EXCLUDE_JOBS_FLAG,RESTATMENT_RUN_TIME,RESTATMENT_START_TIME,FISCAL_YEAR_END_RUN_TIME,FISCAL_YEAR_END_START_TIME,ACTUAL_RUN_TIME,RUN_TIME_DIFF,NEW_THRESHOLD_START_TIME,START_TIME_DIFF,LATE_START,FAILED,LONG_RUN,NOT_STARTED,REGION,APPLICATION,JOB_TYPE,DM_WORK_GROUP,LOG_CAPTURED_TIMESTAMP
100,0,252315.0,1, ,AA,0,0,20190624012621,20190624012620, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001clf,SEBLG410@-SIEBEL012,4c3ht,19384,SEBLG410@-SIEBEL012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:48
100,0,124234.0,1, ,AA,0,0,20190623124556,20190623124555, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001cm,SEBLG410@-SIEBEL012,4c3hc,18352,SEBLG410@-SIEBEL012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:48
100,0,251812.0,1, ,AA,0,0,20190624004122,20190624004121, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001cn,SEBLG410@-SIEBEL012,4c3hd,18596,SEBLG410@-SIEBEL012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:48
0,0,,0, ,AA,0,0, , , ,Wait Condition,,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001co,SEBLG410@-SIEBEL012,4c3he, ,SEBLG410@-SIEBEL012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:48
0,0,,0, ,AA,0,0, , , ,Wait Condition,,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001cp,SEBLG410@-SIEBEL012,4c3hf, ,SEBLG410@-SIEBEL012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:48
700,0,135415.0,8, ,AA,0,0,20190623125738,20190623125731, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001d,SEBLG407@-SIEBEL016,4c46f,11208,SEBLG407@-SIEBEL016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:48
800,0,103645.0,9, ,AA,0,0,20190623104940,20190623104932, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001ef,SEBLG407@-SIEBEL016,4c472,8040,SEBLG407@-SIEBEL016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:48
800,0,103655.0,9, ,AA,0,0,20190623104950,20190623104941, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001ff,SEBLG407@-SIEBEL016,4c473,8772,SEBLG407@-SIEBEL016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:48
4100,0,103705.0,29, ,AA,0,0,20190623105032,20190623104951, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001gf,SEBLG407@-SIEBEL016,4c474,10612,SEBLG407@-SIEBEL016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:48
4300,0,125815.0,44, ,AA,0,0,20190623132606,20190623132523, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001h,SEBLG407@-SIEBEL016,4c46g,3424,SEBLG407@-SIEBEL016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:48
800,0,82049.0,8, ,AA,0,0,20190623082056,20190623082048, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001i,SEBLG407@-SIEBEL016,4c46h,10736,SEBLG407@-SIEBEL016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:48
3200,0,123407.0,40, ,AA,0,0,20190623131345,20190623131313, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001j,SEBLG407@-SIEBEL016,4c46i,10884,SEBLG407@-SIEBEL016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:48
1000,0,130939.0,10, ,AA,0,0,20190623131159,20190623131149, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001k,SEBLG407@-SIEBEL016,4c46j,4644,SEBLG407@-SIEBEL016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:48
1300,0,100510.0,15, ,AA,0,0,20190623102315,20190623102301, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001lf,SEBLG407@-SIEBEL016,4c475,5980,SEBLG407@-SIEBEL016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:48
