ELAPSED_RUNTIME,DELETE_FLAG,AVG_START_TIME,AVG_RUNTIME,TIME_ZONE,PRIORITY,CYCLIC,MAX_RERUN,END_TIME,START_TIME,FROM_TIME,STATUS,STATE,ODATE,MEMNAME,JOB_NAME,ORDER_TABLE,ORDER_ID,JOB_ID,GROUP_NAME
500,0,204845.0,8, ,AA,0,0,2.01906E+13,2.01906E+13,2000,Ended OK,Run (2) ,190623,sebl5911_tfm_pmnts_email.bat,SEBLJ5911a,SEBLG407@-SIEBEL016,4c460,7604,SEBLG407@-SIEBEL016
0,0,204845.0,8, ,AA,0,0, , ,300,Wait Condition,,190623,sebl5911_tfm_pmnts_email.bat,SEBLJ5911a,SEBLG407@-SIEBEL016,4c45z, ,SEBLG407@-SIEBEL016
1500,0,204845.0,8, ,AA,0,0,2.01906E+13,2.01906E+13,1430,Ended OK,Run (2) ,190623,sebl5911_tfm_pmnts_email.bat,SEBLJ5911a,SEBLG407@-SIEBEL016,4c45y,10424,SEBLG407@-SIEBEL016
0,0,204845.0,8, ,AA,0,0, , ,300,Wait Condition,,190623,sebl5911_tfm_pmnts_email.bat,SEBLJ5911b,SEBLG410@-SIEBEL012,4c3go, ,SEBLG410@-SIEBEL012
500,0,204845.0,8, ,AA,0,0,2.01906E+13,2.01906E+13,1430,Ended OK,Run (2) ,190623,sebl5911_tfm_pmnts_email.bat,SEBLJ5911b,SEBLG410@-SIEBEL012,4c3gp,17020,SEBLG410@-SIEBEL012
200,0,204845.0,8, ,AA,0,0,2.01906E+13,2.01906E+13,2000,Ended OK,Run (2) ,190623,sebl5911_tfm_pmnts_email.bat,SEBLJ5911b,SEBLG410@-SIEBEL012,4c3gq,17228,SEBLG410@-SIEBEL012
200,0,204845.0,6, ,AA,0,0,2.01906E+13,2.01906E+13,1430,Ended OK,Run (2) ,190623,sebl5911_tfm_pmnts_email.bat,SEBLJ5911c,SEBLG408@-SIEBEL014,4c3j8,10524,SEBLG408@-SIEBEL014
0,0,204845.0,6, ,AA,0,0, , ,300,Wait Condition,,190623,sebl5911_tfm_pmnts_email.bat,SEBLJ5911c,SEBLG408@-SIEBEL014,4c3j7, ,SEBLG408@-SIEBEL014
900,0,204845.0,6, ,AA,0,0,2.01906E+13,2.01906E+13,2000,Ended OK,Run (2) ,190623,sebl5911_tfm_pmnts_email.bat,SEBLJ5911c,SEBLG408@-SIEBEL014,4c3j6,7176,SEBLG408@-SIEBEL014
300,0,204845.0,4, ,AA,0,0,2.01906E+13,2.01906E+13,1430,Ended OK,Run (2) ,190623,sebl5911_tfm_pmnts_email.bat,SEBLJ5911u,SEBLG409@-SIEBEL018,4c3ub,704,SEBLG409@-SIEBEL018
500,0,204845.0,4, ,AA,0,0,2.01906E+13,2.01906E+13,2000,Ended OK,Run (2) ,190623,sebl5911_tfm_pmnts_email.bat,SEBLJ5911u,SEBLG409@-SIEBEL018,4c3ud,7132,SEBLG409@-SIEBEL018
