CTRLM_TABLE_NAME,JOB_NAME,SCRIPT_NAME,DESCRIPTION,CRITICAL_LONG_RUN_JOBS_FLAG,THRESHOLD_RUN_TIME,CRITICAL_NOT_STARTED_JOBS_FLAG,FROM_TIME,THRESHOLD_START_TIME,EXCLUDE_JOBS_FLAG,FAIL_FLAG,TEAM_NAME,SNOW_WORK_GROUP,MIR3_WORK_GROUP,REGION,APPLICATION,JOB_TYPE
SEBLG407@ADLN5755,SEBLJ5001ax,sebl5001_ana_suff_report.sh,Anaplan Sufficiency Report Unix Job,Y,50,N,,,N,Y,Optima ASIA ,HPE_CDS_TFM_Optima_TX_L2,APTX,AP,Tx,Linux
SEBLG407@ADLN5755,SEBLJ5002ax,sebl5002_ana_ship_sum_cu.sh,Anaplan Promotion Volume Extract Unix Job,Y,60,N,,,N,Y,Optima ASIA ,HPE_CDS_TFM_Optima_TX_L2,APTX,AP,Tx,Linux
SEBLG407@ADLN5755,SEBLJ5010aa,sebl5010_ana_ship_tot.sh,Anaplan Total Shipment Unix Job,Y,40,N,,,N,Y,Optima ASIA ,HPE_CDS_TFM_Optima_TX_L2,APTX,AP,Tx,Linux
SEBLG407@ADLN5755,SEBLJ5004a,sebl5004_dmy_gtin_del.sh,Del Delete dummy GTIN Unix Job,Y,40,N,,,N,Y,Optima ASIA ,HPE_CDS_TFM_Optima_TX_L2,APTX,AP,Tx,Linux
SEBLG407@ADLN5755,SEBLJ2024af,sebl2024_anapln_accprd_sync.sh,Anaplan Account-Product Unix Job,Y,40,N,,,N,Y,Optima ASIA ,HPE_CDS_TFM_Optima_TX_L2,APTX,AP,Tx,Linux
SEBLG407@ADLN5755,SEBLJ2026afx,sebl2026_anaplan_fund_sync.sh,Anaplan Funds Unix Job,Y,40,N,,,N,Y,Optima ASIA ,HPE_CDS_TFM_Optima_TX_L2,APTX,AP,Tx,Linux
SEBLG407@ADLN5755,SEBLJ3505af,sebl3505_anaplan_pay_ext.sh,Anaplan Promotion Payment Extract Unix Job,Y,40,N,,,N,Y,Optima ASIA ,HPE_CDS_TFM_Optima_TX_L2,APTX,AP,Tx,Linux
SEBLG407@ADLN5755,SEBLJ5000afx,sebl5000_ana_rvc_sum_cu.sh,Anaplan Promotion RVC Extract Unix Job,Y,40,N,,,N,Y,Optima ASIA ,HPE_CDS_TFM_Optima_TX_L2,APTX,AP,Tx,Linux
SEBLG407@ADLN5755,SEBLJ2005be,sebl2005_s_cx_daily_stats.sh,Daily Stats NT Job,N,60,N,1800,,N,Y,Optima ASIA ,HPE_CDS_TFM_Optima_TX_L2,APTX,AP,Tx,Linux
SEBLG407@ADLN5755,SEBLJ2005bh,sebl2005_s_cx_daily_stats.sh,Daily Stats NT Job,N,60,N,1800,,N,Y,Optima ASIA ,HPE_CDS_TFM_Optima_TX_L2,APTX,AP,Tx,Linux
SEBLG407@ADLN5755,SEBLJ4007a,sebl4007_DM2_mbot.sh,M Bot Unix Job,N,60,N,0400,,N,Y,Optima ASIA ,HPE_CDS_TFM_Optima_TX_L2,APTX,AP,Tx,Linux
SEBLG408@ADLN5755,SEBLJ31cx,sebl31_tfm_bpt_mat_ref1.sh,BPT Refresh Materialized View1 Unix Job,N,60,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ32cx,sebl32_tfm_bpt_mat_ref2.sh,BPT Refresh Materialized View2 Unix Job,N,60,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5100g,sebl5100_optima_sid_io.sh,Optima SID-IO Unix Job,Y,60,N,1300,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
